episode_id,scene_id,family,expected_sample,floor,round,ceil,peak_sample,peak_minus_expected,onset_sample,onset_minus_expected,current_error,expected_error,earliest_error,early4_error,early8_error,early16_error,direct_to_peak_amp_ratio,direct_to_peak_energy_ratio
clsdoa_v1_pilot_005_ep_000011,replica.office_0,Replica,265.7303464704339,265,266,266,258,-7.730346470433915,258,-7.730346470433915,115.92343512500125,0.020231015814799205,0.0,0.0,0.018656634763345413,0.0,6.601178029086441e-05,4.355919624998705e-09
clsdoa_v1_pilot_005_ep_000012,replica.apartment_1,Replica,97.6760750878806,97,98,98,144,46.323924912119395,90,-7.676075087880605,87.37517045817812,60.09101220171626,71.3665004392482,94.06323475833646,95.04834668214464,90.6534987476895,0.10972041636705399,0.06863298267126083
clsdoa_v1_pilot_005_ep_000013,replica.apartment_2,Replica,224.48638936584544,224,224,225,217,-7.48638936584544,217,-7.48638936584544,8.913658556096819e-06,0.012090895676719714,0.013255804012331424,0.0,0.0,0.015246804489272934,9.116259025176987e-05,8.311364929625142e-09
clsdoa_v1_pilot_005_ep_000014,replica.room_0,Replica,155.56153288126754,155,156,156,148,-7.561532881267539,148,-7.561532881267539,1.6231609471220672,0.0,0.009051762040776276,0.0027452954523753347,0.009070580710707836,0.022783532353042243,4.047140828333795e-05,1.6378491896062997e-09
clsdoa_v1_pilot_005_ep_000015,replica.frl_apartment_0,Replica,112.83653279745153,112,113,113,106,-6.836532797451525,106,-6.836532797451525,0.32217634223574676,0.0018036921548990718,0.013502569203531618,0.015526231155336875,0.0,0.0,4.203901335131377e-05,1.7668264629122632e-09
clsdoa_v1_pilot_005_ep_000016,replica.frl_apartment_3,Replica,324.28937936020236,324,324,325,316,-8.28937936020236,316,-8.28937936020236,0.10431242429350657,0.01426943271809958,0.0,0.016776418168884158,0.0,0.0,7.939422357594594e-05,6.302770305666172e-09
clsdoa_v1_pilot_005_ep_000017,replica.frl_apartment_2,Replica,90.51786899616965,90,91,91,83,-7.517868996169653,83,-7.517868996169653,2.831646840510158e-06,0.019114623806028942,0.018014454205464936,0.0,0.0,0.0,2.1204266886343248e-05,4.496667760367501e-10
clsdoa_v1_pilot_005_ep_000018,replica.frl_apartment_4,Replica,110.65649625037013,110,111,111,103,-7.656496250370125,103,-7.656496250370125,0.0,0.014722662349433896,0.0,0.010604961056260543,0.010604961056260543,0.010604961056260543,2.7392668926040642e-05,7.503051513424452e-10
clsdoa_v1_pilot_005_ep_000019,replica.office_2,Replica,96.85296481652061,96,97,97,90,-6.852964816520611,90,-6.852964816520611,0.8394500588859765,0.016371207188273257,0.01368740516211552,0.010604961021893162,0.01368740516211552,0.01368740516211552,3.612849468481727e-05,1.3052307012983988e-09
clsdoa_v1_pilot_005_ep_000020,replica.frl_apartment_1,Replica,193.81863356162987,193,194,194,186,-7.818633561629866,186,-7.818633561629866,1.0833622902560422,0.0,0.013043351814844195,0.0,0.016037112640663875,0.015632101354647855,4.9665588448988274e-05,2.467610560330513e-09
clsdoa_v1_pilot_005_ep_000021,replica.office_4,Replica,113.96657071683649,113,114,114,107,-6.966570716836486,107,-6.966570716836486,4.00455336570039e-06,0.0,0.0,0.0,0.0,0.0,4.300707223592326e-05,1.850272046688417e-09
clsdoa_v1_pilot_005_ep_000022,replica.apartment_1,Replica,144.67823620374392,144,145,145,137,-7.678236203743921,137,-7.678236203743921,3.7215130446689415e-06,0.008685079599686701,0.010871525525582605,0.0,0.010871525525582605,0.0,3.688110155053437e-05,1.3601716419842091e-09
clsdoa_v1_pilot_005_ep_000023,replica.frl_apartment_0,Replica,132.1278953643394,132,132,133,125,-7.127895364339395,125,-7.127895364339395,0.21711785960246088,0.0,0.013687405135487777,0.0,0.013687405135487777,0.0,5.14412131451536e-05,2.6463049529468208e-09
clsdoa_v1_pilot_005_ep_000024,replica.frl_apartment_2,Replica,90.51786899616965,90,91,91,83,-7.517868996169653,83,-7.517868996169653,8.537736462515939e-07,0.02252440901811142,0.0,0.0,0.0,0.0,2.1196361558395438e-05,4.491350624746815e-10
clsdoa_v1_pilot_005_ep_000025,replica.frl_apartment_3,Replica,104.86573413707794,104,105,105,98,-6.865734137077936,98,-6.865734137077936,1.7075472925031877e-06,0.01490754797635236,0.01368740516211552,0.0,0.0,0.01368740516211552,3.851991277770139e-05,1.4838933415362021e-09
clsdoa_v1_pilot_005_ep_000026,replica.frl_apartment_4,Replica,110.65649625037013,110,111,111,103,-7.656496250370125,103,-7.656496250370125,0.0,0.018492363560804956,0.013687405188743266,0.013687405188743266,0.013687405188743266,0.013687405188743266,2.738222792686429e-05,7.499951215628187e-10
